作者,看板,標題,日期,類型,內文
sakurammsrx (+9肥宅算盤子),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"台灣生育率低應該不是男女問題

是政府跟台灣的問題，自己生就知道了
如果還打算自己養到上幼稚園為止，照已開發國家的最低生育率至少要生兩個，現在一般
家
庭要撐住生兩個小孩其實很辛苦，那大多人當然就選擇乾脆不生，台灣整體環境對生小孩
就
是比較辛苦，加上又不像從前非得要傳宗接代的想法，兩個人原本好好的為啥要額外給自
己
找累受

我是跟老婆在結婚前就討論過，結婚後就直接一二胎沒間斷，兩胎年齡只隔一年5個月（
第
一胎2016年底，第二胎2018年初），兩個小朋友我請育嬰假顧到兩個都去幼稚園前請好請
滿
，但是薪水這樣一定有差的，沒有另一半負責金錢的部份撐不住杯

現在大多看到的狀況是雙薪又不請育嬰假，或是可能開頭請幾個月的，然後後續兩個人上
班
時數拉滿又要顧小孩，你說岳父母/父母有後援退休能幫忙顧的，在現在勞動人口老年化
的
狀況下可能也沒辦法，有些變成爺爺奶奶隔代的可能又有教養問題，天使寶寶都被養成惡
魔
寶寶了


總之，談到生育率，媽的ㄘㄨㄚˋ= =，怪男怪女，最該怪的是政府吧

不過我兩個女兒真的超級可愛又乖，超讚

"
cyberia (狸),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論," 
第一有關係的   台灣總工時 全世界第四
 
諸君上班上完累得跟狗一樣  還有時間交友?
 
還有時間磨合打炮?  耐性都被上班吃光了
 
再來是台灣物價其實並不便宜  不只房地
 
連民生物資都貴，我是搞不太懂為啥一個時薪
 
這麼低的地方物價會這麼高  工薪階級賺出來的
 
錢都被灌進土地 。
 
綜合起來就是台灣工薪階級的生存壓力其實很高
 
，大家過好自己生活就已經精疲力盡了。
 
更不用說還要跟人交際磨合...兩人關係在完全穩
 
定之前會有很多消耗精力的時候，當然社會風氣的衝突
 
兩性對立等等都會加大溝通的消耗，
 
當然工作的磨耗也降低了人願意給別人的耐性..
 
降低了交往成功的機率，這其實也是有關的。
 
單追根究柢就是....大家已經太累了。
 
會因為婚生是主流當然有一部分是傳統因素，
 
但在現代更多的是單人生小孩會無法生存的考量。
 
也就是比起歐美日韓  台灣在對人的壓榨上是更徹底的，
 
以至於沒有組隊就根本沒辦法考慮生小孩這件事。
 
 
 
"
GGFACE (GGFACE),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"生育率低很好解釋啦

平均受教育程度越高的 + 經濟越發達的 國家 = 低生育率

原因很簡單

資訊爆炸

你手機一連上網路

就充斥著富人過多爽的資訊

人家小孩從小學三個語言 讀貴族學校 吃好用好住好

長大英美留學 回台空降

小孩不看

權貴本身生活也是整天放送

每天大魚大肉 開豪車 住豪宅

出國沒有頭等艙 5星級 我可是不去的

整天灌輸你PR99的人的生活的模樣

PR50~90的人就會想自己如果給不起小孩這樣的生活那不如不生

更別說生了小孩自己的生活品質還要打折 離PR99更遠

今天要解決這問題很簡單

把網路拔掉就好

信不信你在台灣弄個楚門的小鎮 整個小鎮都沒網路

裡面的人沒事自然就會開始交配生小孩了

以上です


"
rainjuly (拜託你了),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"大大貼的表裡面前五低 台灣 南韓 新加坡 澳門 香港
這些都是公認的先進國家
他們的生育率都跟台灣差不多低

台灣的工程師工作地點大部分都是台灣和美國在選
其他日本法國英國德國幾乎很少人會去
因為那裡的工程師薪水沒有比台灣高
台灣的科技是不是打不贏很難說
至於韓國更不用說了
韓國工業實力已經不輸G7成員國

經濟日本的人均GDP被台灣超越
法國英國德國人均GDP也停滯很久了
未來也很有可能跟日本一樣被台灣超越

台灣目前是世界第21大經濟體
韓國第10大經濟體


"
geige (),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"其實這是倒是真的，日本帥哥比美女多
你照鏡子了嗎，什麼感情就是一起打拼

有錢的選正妹

正妹選有錢的

富婆選帥哥

一起打拼只有你媽願意

你應該找你媽年紀的阿姨
對，我也這麼覺得，應該要改變環境

立刻去日本上班娶櫻花妹

選什麼台女

太平洋沒加蓋還不離開鬼島
再問一次照鏡子了嗎

你有帥到需要犧牲自由嗎

又沒有錢，那你有什麼好
他們不會說這些，是直接行動就好

結婚二十年趕快離婚拿日本法律保障的一半贍養費

"
gsp0309099 (笑看紅塵只為紅顏),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"

對啊我也想知道

為什麼台灣產後一定要去月子中心

有那麼完善的照顧 還不會想要生小孩

有人會說住30天 往後累三十年

但感情不就是一起打拼一起努力嗎

好像日韓女生都在家做家庭主婦一樣

只靠男主外女主內 男人收入

如果是這樣那就真的是台灣的環境問題了

女生薪水比男生高 一個人也可以過得很好

兩個人沒有更好 那幹嘛在一起

諸如此類的話出現

好奇日韓女生會說這種話嗎

"
endurance (大家好),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"
奇怪的思維

不知道美國 日本 法國 英國 德國 歐洲各國 是否都不是先進國家呢?

甚至韓國都贏過台灣

我是不知道台灣是否是世界第一先進

我只知道台灣打不贏這些國家 不管科技經濟軍事

不知道有沒有前50名 但生育率最後一名 所以絕對跟先進 國力 完全無關

https://tinyurl.com/y5rok9sd

"
rainjuly (拜託你了),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"越先進的國家本來就會越不想生小孩
因為生小孩是本能的行為
越落後的國家越喜歡依靠本能思考
所以生育率比較高
國家進步了之後大家懂得控制本能
生育率就會降低了
台灣生育率低是先進國家的象徵
我們台灣人應該因此感到自豪


"
deepdish (Keep The Faith),Boy-Girl,Re: [討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"大家都知道日本少子化

日本人早就有解惹

不要再浪費鄉民時間

整天吵假議題

這跟男女版沒關係

跟都市計畫比較有關係
https://www.ptt.cc/bbs/home-sale/M.1688640996.A.5F0.html

鼓勵生育不靠「大撒幣」！日本流山市如何連5年成人口增加率之冠？
https://www.parenting.com.tw/article/5091843
2022-01-21 00:00 更新：2022-11-09 15:58 by 施逸筠

借鏡國外》專訪日本流山市市長 井崎義治｜托兒所比超商多 吸引雙薪家庭移居
https://www.parenting.com.tw/article/5093633
by 施逸筠 (親子天下雜誌124期 2022-09-01出刊)

人口増加率５年連続一位！　流山を“方向転換”させた都市開発のプロ
https://youtu.be/Ysp_XZosgNo
13,696 views  Dec 24, 2021  #カンブリア宮殿 #流山市

以下用 chatGPT 產生

- 人口增長率連續五年排名第一！改變了Flowery Hill的城市發展專家。

- 市場營銷部門已確定目標客群，重點關注雙收入家庭的育兒年齡段。

- 在不依賴廣告費用的情況下，努力提高城市的認知度，並將其宣傳為理想的居住地。

- 強調改善綠地，將其轉變為宜人且維護良好的區域。

- 在流山，城市的管理對於綠化方面非常重視，並致力於打造與海鳥相關的城市發展。

"
endurance (大家好),Boy-Girl,[討論]為什麼日韓女生比台女更願意生小孩?,2023-07,討論,"
日韓的生育率都比台灣高

他們明明社會壓力大 工作壓力大 幸福指數也低於台灣 但卻比台灣女生更願意生小孩

這是為什麼呢?


1. 社會壓力大所以不生很奇怪
2. 日韓補助比台灣好?
3. 日韓比較多帥哥 所以較願意XX
4. 台灣崇尚個人主義 所以不生就不生
5. 台灣女生比較嬌 怕痛怕辛苦怕公婆

不知道還有甚麼東西能解釋這個現象

台灣女生比起日韓女生  更不願意生小孩

"
tessamaimai (愛問問),Boy-Girl,[討論] 金刻羽的PR值在台女中算多少 ?,2023-06,討論,"
金刻羽 世界知名經濟學家 超級學霸 26歲就獲得哈佛大學經濟博士學位

29歲獲得倫敦政經學院終身副教授

並且曾任清華大學 柏克萊大學 耶魯大學客座教授

外型也相當優秀 長得有點像日籍女星木村佳乃

有顏值 又是超級學霸

金刻羽如果在台灣女生當中 PR值差不多多少呢?

"
kim (＠＠＠＠＠＠＠),Boy-Girl,Re: [討論] 台女自助餐是不是台男自己造成的,2023-06,討論,"
回一篇幾天前的老文。

先說結論，是！因為我也當過舔狗。
我說這番話應該是很有說服力。

一個男性，約到一個女生見面，
才發現她只想佔盡便宜，
這不是你的錯，因為識人能力再強，
也無法一眼就看出人的本性。

但如果跟這樣的女生交往了，
還一直不斷付出各種金錢，然後哀哀叫，
那就是你活該了，有人規定你要繼續這樣失血嗎？

我跟前女友交往的時候，
在曖昧階段，我就掏錢幫她買了家具，
讓她用在新的租屋處，
後來交往吃飯都我付錢，這倒不打緊，
畢竟她是學生，幾乎沒有收入，
每個月只有父母提供的1.5萬元生活費，
扣掉房租、又要常自費做實驗，
大概也吃不起什麼飯。
（不是大學生，是26歲又再考上研究所）

但在交往初期一兩個月，有一次，
我幫她付了一筆幾千元的做實驗材料費，
我跟她說等到她爸媽給她的生活費到了，
再還給我。

她就在電話中哭泣，說這樣子要錢，
會讓她想起跟另一任男友交往時，
對方連她多點個幾十元的餐點，
都會嫌棄的那種眼神。

我這個人也耳根子軟，從那之後，
除了約會吃飯的錢，
還會幫她出所有買飾品、包包、旅遊、
需要自費做實驗的材料和機器費用。

而且每次見面大概都會說，
又跟誰誰誰意見分歧，覺得很受傷，
我怎麼安慰都好像被認為沒有同理心。

我有一次考國際證照，
備考期間也還是正常約會，
只是剩最後兩週，我需要衝刺，
所以不方便見面，就是認真念書，
考完之後她就抱怨如果沒心交往，
不如早點分手，我還是把她求回來。

曾經看過我們相處的同事都勸我說，
這個一看就知道有公主病的幹嘛不放生。

我就是這樣被情緒勒索兩年多，
直到有一次，她跟我說她不想結婚，
那天我就攤牌，如果沒有要走一輩子，
那為什麼我要這樣子為妳付出？

經過幾週的不開心後，終於分手了。

*****

從以上這件事來看，
你遇上愛吃自助餐的台女，不是你的錯，
但你如果還要一直當舔狗請她吃自助餐，
那你就是活該了。

以上，請在座各位男性，
該堅持你們的原則就請好好堅持，
若堅持不了，也請心甘情願的改原則，
不要一邊改變原則，
又一邊哀哀叫說怎麼台女都這樣。

"
moshenisshit (嘻嘻),Boy-Girl,Re: [討論] 台女自助餐是不是台男自己造成的,2023-06,討論,"你知道你這篇有多好笑嗎？

跟那些男生把買車買房攬在自己身上，

再抱怨男生在社會上比女生辛苦很多一樣好笑。

我可以拿你的文章照樣造句一篇：


一個普通的男生不特別帥那種會有哪些花費？

1. 車貸（每個月5000-10000元左右）
2. 房貸（每個月20000-30000元左右）
3. 打扮（每個月500-1000元左右）
4. 理髮（每個月5000-1000元左右）
5. 3C產品（每年20000-50000元左右）
6. 應酬（每個月500-2000元左右）

因為要償還房貸和車貸，每天加班的時間，包含假日，每次三到五小時；

如果有在健身和控制飲食，

每天都要想要吃什麼甚至自己煮和健身這也是時間花費。

如果約會的對象是不開車要人載的，他開車再怎麼快，

開車出門也是提早半小時出發才能避免遲到。


要自己往自己身上加諸一堆跟男生無關的花費，

我也會啊，男生同樣能加諸一堆跟女生無關的花費，

光是房貸、車貸比較下去額度絕對遠遠海放啦。


"
Subaru5566 (愛上速霸路),Boy-Girl,Re: [討論] 台女自助餐是不是台男自己造成的,2023-05,討論,"https://i.imgur.com/AY8zdkj.jpg
https://i.imgur.com/7Ey9o78.jpg
https://i.imgur.com/lB4Oey3.jpg

來平衡一下報導好了，雞掰郎不分男女。


上面原po平時要和男方aa，住的還是女方的房子，還挖坑給人說請吃飯，卻把人家
丟進廚房，又說男的長的不帥。

分手還會說對方壞話，感覺人品也不怎麼樣，但這種男人還可以吃到海龜派。

https://i.imgur.com/UJVYUYC.jpg

下面回文還有這種抖M，一樣沒錢加不體貼，還到懷孕生子才清醒過來。

只能說各位舔狗們如果付出的不甘願的話，上面這種抖M的女性也是有的；
用車子打比方，明明身家也只夠養得起保修便宜的國產車，但就給洨要去買
需要對汽車維修熱愛的歐州貨，怪誰呢？

"
